Date,Close,Return,Volume,EMA,MACD,RSI
2010-07-12,248.75338745117188,0.011443312017300004,2188673,0.00036279659882141533,-2.2994579612197583,51.99402091319737
2010-07-13,252.6319732666016,0.015471784735150592,2353735,0.0013375700269716848,-1.501576863114451,56.33495572427529
2010-07-14,254.7284545898437,0.008264315229974926,4141282,0.0017844568142622165,-0.6921036822534745,58.51841717227681
2010-07-15,253.6802673339844,-0.004123409752073148,2585618,0.0014033041325631607,-0.13362990361611082,56.9841594059678
2010-07-16,247.70504760742188,-0.023835969859076298,4426559,-0.00022503612496196554,-0.17121207912612135,49.083850499410445
2010-07-19,246.86648559570312,-0.0033910678597430643,2722805,-0.0004292962368833268,-0.2655995044163433,48.07648148127738
2010-07-20,246.6568298339844,-0.0008496286508700717,4408550,-0.00045641445714053613,-0.3532476675652845,47.81227366406374
2010-07-21,250.7450561523437,0.016438692722277024,5396957,0.0006335924576605968,-0.09176595041896007,53.21187214119188
2010-07-22,256.82501220703125,0.02395825622708973,5921725,0.0021384094750431216,0.5991551480088901,59.862906664457824
2010-07-23,259.1312255859375,0.008939629250534157,3692680,0.0025771978476554465,1.3176185556584699,62.06567883587433
2010-07-26,264.0580139160156,0.018834232803367296,7145196,0.003626038812540082,2.258521792476671,66.31838755313504
2010-07-27,260.493896484375,-0.013589397770233252,3640677,0.002515365484619222,2.6856414929586094,60.99147868055085
2010-07-28,255.2526092529297,-0.02032575158148269,3125141,0.0010417450287416791,2.571565450737012,54.1084856848277
2010-07-29,251.4788818359375,-0.014894662164030539,2786366,1.3589725982181321e-05,2.1518459604530733,49.75476932122237
2010-07-30,250.4305419921875,-0.004177412570907167,2777043,-0.0002567975189784218,1.714855193231159,48.58522885334048
2010-08-02,254.20431518554688,0.014956729564054232,1807187,0.0007247203573462656,1.6539827364081248,52.8791316432906
2010-08-03,252.00299072265625,-0.008697378776121027,2602314,0.00011684299389676288,1.4118376038357212,50.24319770810317
2010-08-04,250.8498992919922,-0.004586205924910304,2228460,-0.0001865795169940156,1.1140489373646574,48.86900367163097
2010-08-05,252.7368011474609,0.007493886094496835,2620789,0.0003089343934247489,1.0185650995416324,51.220159498180585
2010-08-06,251.79330444335932,-0.0037401050739260585,2312796,4.770604069243879e-05,0.8568835510677388,49.98252860726169
2010-08-09,255.98638916015625,0.016515745239280788,1312629,0.0011101601825368485,1.0549360070099567,55.167229690026545
2010-08-10,256.4056701660156,0.001636563611045099,2546554,0.0011441216940535099,1.2315301651869675,55.66214727135136
2010-08-11,250.535400390625,-0.023160609869042958,2417400,-0.00042392550356561707,0.8875692510188742,47.71941424254999
2010-08-12,249.4872131347656,-0.004192565547601743,1730618,-0.0006670635709227864,0.5243533776161371,46.44498898025931
2010-08-13,250.7450561523437,0.005029046488387848,1536221,-0.0002995725993543584,0.33414775310319556,48.23170440139778
2010-08-16,248.22918701171875,-0.010084249820065765,2099571,-0.0009308420974647718,-0.019377812967917407,44.99803852155674
2010-08-17,253.575439453125,0.02130890970501431,2802797,0.0005039805994693626,0.13034597319071395,52.314410644955956
2010-08-18,254.3091735839844,0.002889375352153331,1620193,0.0006578770351263928,0.30469700727883264,53.233850168751474
2010-08-19,252.52713012695312,-0.0070320566520389914,2688362,0.00016175228111572286,0.2956671769319428,50.6780877158027
2010-08-20,252.10780334472656,-0.0016619019054188585,2821795,4.40971723070402e-05,0.25177252748619594,50.06894363194482
2010-08-23,257.34918212890625,0.020577060958578294,3530229,0.0013688045133567986,0.632628616516115,57.022659996447025
2010-08-24,255.2526092529297,-0.008180168708947182,2625810,0.0007527417248210579,0.7565627176266787,53.79535440263912
2010-08-25,250.8498992919922,-0.017398929871914725,2580515,-0.00041833386206512166,0.4938269570245666,47.69119807127529
2010-08-26,255.7768096923828,0.019450477606257226,3546449,0.0008635249423427716,0.6753820829996755,53.983808145887465
2010-08-27,255.567138671875,-0.0008200782777594382,4880613,0.0007549053797555323,0.793203572278685,53.68781598221797
2010-08-31,256.7202453613281,0.004501803764137023,5813464,0.0009966407593930478,0.9684602177695467,55.14444415243426
2010-09-01,261.4374389648437,0.01820806318677943,4581060,0.002107055109547008,1.4710333161665687,60.60341652152994
2010-09-02,261.4374389648437,0.0,4450407,0.0019711160702213944,1.8480232557520822,60.60341652152994
2010-09-03,264.7917785644531,0.012748760120988545,3524689,0.0026664479444644365,2.3899082960713542,64.19684230582007
2010-09-06,264.68707275390625,-0.0003955051713625446,1464863,0.0024689025821530183,2.778874080140298,64.00060452128676
2010-09-07,261.33258056640625,-0.012754419499719052,3169878,0.0014867527704193364,2.784356453497594,57.89471971957335
2010-09-08,265.4208068847656,0.015522665842034516,2846963,0.002392295549233219,3.0830475183788053,62.58024512227068
2010-09-09,266.3641967773437,0.0035480161182813797,2413636,0.0024668581665911646,3.3571864635669044,63.58721528017174
2010-09-10,266.0497131347656,-0.0011813503490324597,2882564,0.002231489875260608,3.508622139009276,62.97879797957465
2010-09-13,267.4125671386719,0.005109478286571774,2658024,0.0024171665469581026,3.6960017239095464,64.56130423658756
2010-09-14,266.2594909667969,-0.004321297878362185,3941864,0.0019824269066148585,3.708706128865174,62.14101853957036
2010-09-15,267.6222229003906,0.005105006812259176,2892652,0.0021838836747209434,3.7851032256970143,63.865102020831245
2010-09-16,267.0980529785156,-0.001960539420017562,1823364,0.0019165015395765238,3.7600092966755483,62.68265124897066
2010-09-17,267.5173034667969,0.0015684194970123242,4718088,0.00189404463360464,3.7309441855765613,63.26844526889378
2010-09-20,271.81524658203125,0.01593834489920691,2737750,0.002800128521708012,4.008510353474094,68.69388664862127
2010-09-21,268.14630126953125,-0.013589863179452573,1754771,0.001742709702278297,3.887616296516626,60.48126377538738
2010-09-22,264.68707275390625,-0.012984461128782035,2044751,0.0007925696486615015,3.4726455578076525,53.93414409846302
2010-09-23,269.0897216796875,0.01649659114098443,2478561,0.0018057323255855611,3.459160186142867,59.88591014865436
2010-09-24,270.662109375,0.005826352234174157,2303248,0.0020651271583977285,3.534606731773522,61.78493885741905
2010-09-27,279.153076171875,0.03088907740934697,6193814,0.003924736852007357,4.230778935288697,70.03461111073179
2010-09-28,293.51434326171875,0.05016621631362959,15726889,0.006908058107595888,5.873627136830464,78.49180659664661
2010-09-29,289.4261169433594,-0.014026452525318684,6923127,0.005557444518375593,6.767696680883489,72.24125178918125
2010-09-30,289.63580322265625,0.0007242275175058521,4755703,0.005245624066706578,7.407780879491327,72.36281657539675
2010-10-01,294.8770446777344,0.017934188970418527,3944435,0.006064241157268639,8.2429569246234,75.27724632882344
2010-10-04,295.1916198730469,0.0010662326065191204,2731647,0.0057417889927041535,8.828454617448472,75.44461782552008
2010-10-05,298.8603820800781,0.012351810411394038,2357082,0.00616824198745834,9.47923350307235,77.36890545959237
2010-10-06,295.0867004394531,-0.012707301816340394,2590161,0.004950464967858422,9.580043114459158,71.18919991594053
2010-10-07,296.1350402832031,0.0035463545071384634,3712122,0.0048598771961990694,9.633478972859507,71.86159166146118
2010-10-08,282.6122741699219,-0.04673966513980351,4793644,0.0015308744648440645,8.486822260599638,54.26786262149047
2010-10-11,282.7172241210937,0.00037128772758097587,2754565,0.001456062417278704,7.500100647263309,54.36125171915717
2010-10-12,284.7089233398437,0.007020146700354385,4219574,0.0018150355968319736,6.800438914694837,56.18967745656097
2010-10-13,289.63580322265625,0.017156946032738665,1790159,0.0028048362701162764,6.5678004662721605,60.41453664434121
2010-10-14,288.7971496582031,-0.002899745417094082,2390250,0.0024367987419091565,6.243786007622532,59.36508557943782
2010-10-15,283.34619140625,-0.019055096145036653,3321473,0.0010502248782352334,5.483939992768342,52.92942855896333
2010-10-18,286.1765441894531,0.009939466531708971,1577316,0.001623724339749668,5.051907126311676,55.6197486118563
2010-10-19,284.39434814453125,-0.00624708292998647,2197337,0.0011159303223473365,4.513678761529206,53.54450551192441
2010-10-20,283.8702697753906,-0.0018444875897466778,1226340,0.0009249356183412711,3.9987451156681573,52.91921933412025
2010-10-21,285.1282043457031,0.004421581698194542,3937748,0.0011505256880092241,3.6500853860222264,54.298772006996096
2010-10-22,288.27301025390625,0.010969064452905505,3608066,0.0017839798018735003,3.5861902242928068,57.64046318241125
2010-10-25,288.0634155273437,-0.0007273346831006243,2816336,0.001621959512520331,3.478541840485093,57.33953435558144
2010-10-26,285.5475158691406,-0.008772203087511468,6644979,0.0009513683770344084,3.153861887953042,53.71439530993831
2010-10-27,282.4026794433594,-0.011074451924880055,4939357,0.00017550900271734633,2.612671419519984,49.50152120762771
2010-10-28,284.0800170898437,0.005921955105436658,2112762,0.000546247460957302,2.2926924725239246,51.67840942062219
2010-10-29,282.4026794433594,-0.005921955105436632,3470067,0.00012894406957704815,1.882064454245949,49.38572666779587
2010-11-01,283.1365051269531,0.002595137933705087,2687122,0.0002880533511336958,1.597438118910361,50.42201543404836
2010-11-02,288.5874328613281,0.019068968590949344,2680150,0.001499725302089544,1.79106769688633,57.399303915374865
