Configs,Strategy Calmar,E.W. Calmar,Outperformance
FTSE350_3_vw_rsi_4_63,0.8164906490842594,-0.34818524287715713,1.1646758919614166
FTSE350_4_vw_mu_0.5_21,-0.2358012546953861,-0.3481852428771533,0.1123839881817672
FTSE350_4_vw_mu_0.5_63,0.09020464078963196,-0.3481852428771533,0.4383898836667853
FTSE350_4_vw_mu_1_21,-0.05471014270391722,-0.3481852428771533,0.2934751001732361
FTSE350_4_vw_mu_1_252,-0.10886048127227844,-0.3481852428771533,0.23932476160487487
FTSE350_4_vw_mu_1_63,0.1850399478993055,-0.3481852428771533,0.5332251907764588
FTSE350_4_vw_mu_2_21,0.24116053841726082,-0.3481852428771533,0.5893457812944141
FTSE350_4_vw_mu_2_252,0.31526351207105685,-0.3481852428771533,0.6634487549482102
FTSE350_4_vw_mu_2_63,0.28055035435009296,-0.3481852428771533,0.6287355972272463
FTSE350_4_vw_mu_3_21,0.5504292159505668,-0.34818524287715175,0.8986144588277185
FTSE350_4_vw_mu_3_252,-0.09116146708292983,-0.34818524287715175,0.2570237757942219
FTSE350_4_vw_mu_3_63,0.21418832880599645,-0.34818524287715175,0.5623735716831482
FTSE350_4_vw_mu_4_21,0.08023137464072258,-0.34818524287715713,0.42841661751787974
FTSE350_4_vw_mu_4_252,0.3114990649281698,-0.34818524287715713,0.6596843078053269
FTSE350_4_vw_mu_4_63,0.2953687419317627,-0.34818524287715713,0.6435539848089198
FTSE350_4_vw_rsi_0.5_21,-0.1914897102330273,-0.3481852428771533,0.156695532644126
FTSE350_4_vw_rsi_0.5_63,0.1724439013485314,-0.3481852428771533,0.5206291442256847
FTSE350_4_vw_rsi_1_21,0.7359893456042076,-0.3481852428771533,1.084174588481361
FTSE350_4_vw_rsi_1_252,0.3697586404469169,-0.3481852428771533,0.7179438833240702
FTSE350_4_vw_rsi_1_63,0.17442550956962316,-0.3481852428771533,0.5226107524467765
FTSE350_4_vw_rsi_2_21,-0.02250610979326436,-0.3481852428771533,0.32567913308388896
FTSE350_4_vw_rsi_2_252,-0.0534282195965069,-0.3481852428771533,0.2947570232806464
FTSE350_4_vw_rsi_2_63,0.24571603286684124,-0.3481852428771533,0.5939012757439945
FTSE350_4_vw_rsi_3_21,0.9762863465158097,-0.34818524287715175,1.3244715893929615
FTSE350_4_vw_rsi_3_252,0.7687510718505589,-0.34818524287715175,1.1169363147277107
FTSE350_4_vw_rsi_3_63,1.1388801051753117,-0.34818524287715175,1.4870653480524634
FTSE350_4_vw_rsi_4_21,0.01696946648511426,-0.34818524287715713,0.3651547093622714
FTSE350_4_vw_rsi_4_252,-0.14402297592404453,-0.34818524287715713,0.2041622669531126
FTSE350_4_vw_rsi_4_63,0.5710097522487708,-0.34818524287715713,0.919194995125928
