Average Persistence,Number of States,Feature,Train Length,Frequency
0.2926685878357452,4,vw_rsi,1.0,5
0.29229138604897653,4,vw_rsi,1.0,21
0.2977155490051584,4,vw_rsi,1.0,63
0.27329192546583847,4,vw_rsi,1.0,252
0.29670885591579865,4,vw_rsi,2.0,1
0.2979629066585588,4,vw_rsi,2.0,5
0.2938036969539181,4,vw_rsi,2.0,21
0.2953647143370464,4,vw_rsi,2.0,63
0.2972027972027972,4,vw_rsi,2.0,252
0.2980132851926005,4,vw_rsi,3.0,1
0.29661066687714643,4,vw_rsi,3.0,5
0.2979217136299885,4,vw_rsi,3.0,21
0.2997494122813816,4,vw_rsi,3.0,63
0.2909530083443127,4,vw_rsi,3.0,252
0.29836144575144863,4,vw_rsi,4.0,1
0.29929202317612924,4,vw_rsi,4.0,5
0.2976795931341387,4,vw_rsi,4.0,21
0.2863299974770835,4,vw_rsi,4.0,63
0.27955443765720445,4,vw_rsi,4.0,252
0.2407094732377304,5,vw_mu,0.5,1
0.2394213898069944,5,vw_mu,0.5,5
0.2407979407979409,5,vw_mu,0.5,21
0.23067915690866508,5,vw_mu,0.5,63
0.2412698412698413,5,vw_mu,0.5,252
0.18220766472974806,5,vw_mu,1.0,1
0.18125652856295552,5,vw_mu,1.0,5
0.18250270497052137,5,vw_mu,1.0,21
0.18201915991156964,5,vw_mu,1.0,63
0.17504234895539242,5,vw_mu,1.0,252
0.16183812473552034,5,vw_mu,2.0,1
0.16030426899992115,5,vw_mu,2.0,5
0.1567773543821448,5,vw_mu,2.0,21
0.15278476464247212,5,vw_mu,2.0,63
0.16220735785953178,5,vw_mu,2.0,252
0.15430503387598843,5,vw_mu,3.0,1
0.15473104112655314,5,vw_mu,3.0,5
0.15269667219176328,5,vw_mu,3.0,21
0.14565088222377232,5,vw_mu,3.0,63
0.12911725955204215,5,vw_mu,3.0,252
0.13912129627438152,5,vw_mu,4.0,1
0.1400860226368436,5,vw_mu,4.0,5
0.1357486387130656,5,vw_mu,4.0,21
0.13493398368514004,5,vw_mu,4.0,63
0.1239669421487603,5,vw_mu,4.0,252
0.012490007993605555,5,vw_ema_mu,0.5,1
0.01221079691516707,5,vw_ema_mu,0.5,5
0.012312312312312302,5,vw_ema_mu,0.5,21
0.012230028623471239,5,vw_ema_mu,0.5,63
0.004232804232804232,5,vw_ema_mu,0.5,252
0.011480822428337008,5,vw_ema_mu,1.0,1
0.011579505430189676,5,vw_ema_mu,1.0,5
0.01159273080574999,5,vw_ema_mu,1.0,21
0.011723722114289542,5,vw_ema_mu,1.0,63
0.012987012987012988,5,vw_ema_mu,1.0,252
0.009924752626793425,5,vw_ema_mu,2.0,1
0.009706879272096788,5,vw_ema_mu,2.0,5
0.010177273910676646,5,vw_ema_mu,2.0,21
0.009593963348904057,5,vw_ema_mu,2.0,63
0.009273335360291882,5,vw_ema_mu,2.0,252
0.008715299802189838,5,vw_ema_mu,3.0,1
0.008597293309775727,5,vw_ema_mu,3.0,5
0.008797653958944274,5,vw_ema_mu,3.0,21
0.008680151902658298,5,vw_ema_mu,3.0,63
0.008783487044356608,5,vw_ema_mu,3.0,252
0.007847940482671251,5,vw_ema_mu,4.0,1
0.00785745759702211,5,vw_ema_mu,4.0,5
